keywords	B2B	B2C	3D打印	VR/AR	本地生活	汽车交通	工具软件	母婴	企业信息化	社交网络	O2O	金融	移动互联网	传媒	先进制造	传统硬件	IT服务	教育	房产服务	文化娱乐	游戏	体育	C2C	物流配送	生物医药	医疗健康	生鲜	机械制造	互联网金融	环保	广告营销	家政服务	旅游服务	大数据	P2P服务	招聘求职	新材料	智能硬件	可穿戴设备	装修装潢	电子设备	网络社区	影视动漫	云服务	食品饮料	人工智能	新能源	现代农业	物联网	企业服务
师资	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	17	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	4
分析仪	0	0	0	0	0	0	2	0	0	0	0	0	1	0	9	1	4	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2
工程中心	0	0	0	0	0	3	2	0	0	0	0	0	0	0	6	0	3	0	0	1	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	3
液化	1	0	0	0	2	1	0	0	0	0	0	2	0	0	15	1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4
比重	0	0	1	0	2	0	0	0	1	0	1	1	0	1	4	0	7	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	9
专科	0	0	0	0	3	0	1	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	1	12	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	4
困境	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
优先	0	0	0	0	0	0	1	1	0	1	0	7	2	4	5	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1
鲜花	0	3	0	0	7	0	0	0	0	0	4	0	5	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	3
药材	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	4
钻石	0	0	0	0	4	1	0	0	0	0	1	2	0	1	4	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	11	0	0	0	0	0	0	0	0	2
时光	0	1	0	0	0	0	1	0	0	2	1	0	10	4	0	0	1	0	0	5	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	1
符合国家	0	0	0	0	0	0	1	0	0	0	0	3	1	0	5	0	1	1	0	0	0	0	0	0	0	2	0	0	1	9	0	0	0	0	1	0	1	1	0	1	4	0	0	0	0	0	1	0	0	2
成品油	0	0	0	0	1	5	3	0	0	0	0	3	1	0	7	0	2	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	2
参与者	1	0	0	0	0	0	5	0	0	2	1	1	7	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2
全年	0	1	0	0	3	1	2	0	0	0	0	2	3	0	4	0	0	0	2	1	0	0	0	1	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	3
全市	1	1	0	0	2	0	0	0	2	0	0	3	5	1	1	0	1	0	1	2	0	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4
过滤器	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
smt	0	0	0	0	1	2	0	0	0	0	0	0	1	0	5	1	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	1	0	15	0	0	0	0	0	0	0	0	2
